"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000069049",1703.09199181538,-8.7843984988289,0.363735991440477,-24.1504792089468,7.38057208624363e-129,1.30820640228668e-124
"ENSMUSG00000069045",892.875462436884,-7.5312404765702,0.325656575491409,-23.1263270677268,2.51661571187296e-118,2.23035067464741e-114
"ENSMUSG00000056673",398.175835224189,-6.33637108779513,0.318313457156314,-19.9060735427328,3.60485690823637e-88,2.12986962328299e-84
"ENSMUSG00000068457",243.369375959313,-6.21638007748106,0.392016607747371,-15.8574406150851,1.24880310591867e-56,5.53375876310211e-53
"MSTRG.43091",50.3641688577239,-3.85829442951843,0.482720585479037,-7.99281104966671,1.31896199182263e-15,4.67572026101122e-12
"ENSMUSG00000037145",523.180353915219,1.33610814002065,0.210280532151599,6.35393170423121,2.09880046225455e-10,4.65015477418273e-07
"ENSMUSG00000045573",201.41471109595,-1.95177272116133,0.305155233565543,-6.39599949952068,1.59500525324269e-10,4.65015477418273e-07
"ENSMUSG00000079105",357.245796060942,-1.81058711367286,0.28431983817603,-6.36813500348111,1.91340468554102e-10,4.65015477418273e-07
"ENSMUSG00000066361",30.6827365930127,-3.38469727838573,0.551964153051315,-6.1320961871795,8.67286371821936e-10,1.70807232672709e-06
"ENSMUSG00000086503",5990.28715192077,7.19505308080649,1.18960716987025,6.04825968020287,1.4641882188908e-09,2.59527361798394e-06
"ENSMUSG00000003477",335.010017332194,-2.10234453660606,0.35037247932266,-6.00031298311532,1.96937556152139e-09,3.17338016617879e-06
"ENSMUSG00000030862",374.84612089357,-1.60854084948233,0.276810903506783,-5.81097358920658,6.2110562747006e-09,9.17424770575568e-06
"ENSMUSG00000002289",463.196106826195,-1.6658161850744,0.289803945092912,-5.7480797390123,9.02626721267126e-09,1.23069681803537e-05
"ENSMUSG00000024481",131.44765821403,-1.81263011895492,0.322103914801469,-5.62747000474101,1.82871949930301e-08,2.31528950893898e-05
"ENSMUSG00000110649",99.2578305668681,-1.44655426928156,0.273278364200317,-5.29333624165438,1.20104793865471e-07,0.000141923831417699
"ENSMUSG00000037369",878.193624485812,0.860629541351662,0.165740655744488,5.1926278286146,2.07346412231441e-07,0.000229700947300144
"ENSMUSG00000068487",25.057244349868,3.1283902298289,0.64214077658575,4.87181369553027,1.10578417608021e-06,0.00115294261888363
"ENSMUSG00000070369",95.2471822612376,-2.25853422215598,0.467559720762696,-4.83047217684149,1.36209648048896e-06,0.00134128667314815
"ENSMUSG00000035150",3761.28804571131,0.788934806782887,0.1639819411553,4.81110786483325,1.50095981233402e-06,0.00139433611971512
"ENSMUSG00000054203",757.117981838023,-1.21940130175701,0.253952374569592,-4.80169285214873,1.57329886568701e-06,0.00139433611971512
"ENSMUSG00000079794",169.712487382694,-7.54729307564808,1.65067765828337,-4.57223918781147,4.82539658199121e-06,0.0040728644959902
"ENSMUSG00000053093",3040.93974717891,-1.17431341949866,0.266940311053204,-4.39916105164275,1.08670160398655e-05,0.0087553572412098
"ENSMUSG00000033849",476.27882728768,-0.782923947809757,0.179489198823265,-4.36195577752102,1.2890492881687e-05,0.00993408636208271
"ENSMUSG00000000787",6917.46675659477,0.680922172915154,0.157085118019154,4.33473381502712,1.45936601924723e-05,0.0107780261213155
"ENSMUSG00000049556",104.351432472245,-2.22162317296128,0.514513501568887,-4.31791034868272,1.57513380939072e-05,0.0111676987085802
"ENSMUSG00000029223",252.92342905026,-1.13202728011296,0.262965461699779,-4.30485156794229,1.67097733852044e-05,0.0113915666635672
"ENSMUSG00000020676",88.4645136054815,-1.65805260789416,0.396291355035975,-4.18392323431745,2.86520898901983e-05,0.0175354601931275
"ENSMUSG00000042524",2293.81841086801,-0.827324021215814,0.197532231926277,-4.18829885709279,2.81053252686775e-05,0.0175354601931275
"ENSMUSG00000065460",495.334607191404,0.820320649345639,0.196078977931043,4.18362365002804,2.86898925585725e-05,0.0175354601931275
"ENSMUSG00000089679",77.8356014946927,1.27738983865885,0.306235427017145,4.1712673517272,3.02910216118394e-05,0.0178969452689951
"ENSMUSG00000085162",347.128153285645,1.02638449411434,0.246731628777725,4.15992266252572,3.18355373993684e-05,0.0182027387227034
"ENSMUSG00000048387",106.504352718126,-1.28701212545945,0.310345752100721,-4.14702671696874,3.36820771815097e-05,0.0186567130638206
"ENSMUSG00000092200",100.558760864402,-2.51133436690331,0.610215036783315,-4.11549079508356,3.86356416925858e-05,0.0207520226970025
"ENSMUSG00000050150",47.874773322449,3.10798164126109,0.760336200742824,4.08764128056075,4.35781291840227e-05,0.0227183041113765
"ENSMUSG00000038524",112.191228715975,-1.18614269596313,0.291551356562029,-4.06838338860813,4.73404427843958e-05,0.0239745528100976
"ENSMUSG00000096862",202.587345079452,-1.24681279485052,0.307223607333405,-4.05832353077431,4.94262620124591e-05,0.0243355692825233
"ENSMUSG00000073418",445.585661570067,-1.02244428150668,0.253729842676525,-4.02965717678772,5.58582564953865e-05,0.0263806389103115
"MSTRG.23974",34.133324172754,3.75401053384583,0.932271376360356,4.02673580787358,5.65565178331079e-05,0.0263806389103115
"ENSMUSG00000037411",738.79372412801,-0.960185130652921,0.23954703623161,-4.00833650776022,6.11479487288235e-05,0.0277909587491896
"ENSMUSG00000030972",175.600699770761,-1.4638218204699,0.368904342466211,-3.96802545257101,7.24705953644195e-05,0.0321135325708584
"ENSMUSG00000076281",79.8734977255648,2.67210477773465,0.675657767267943,3.95481989134742,7.65923293122906e-05,0.032323786596675
"ENSMUSG00000105168",171.770300864808,1.26787248455197,0.3202181466538,3.95940235680245,7.51375565807485e-05,0.032323786596675
"ENSMUSG00000038916",76.3948163861194,-1.24614530982313,0.315966815041647,-3.94391198853865,8.01630883342981e-05,0.033043970714545
